item,member_base_unit,Primary Purchase Unit,Factor
12oz Tin - Cardinal - Whole Bean,Eaches,Eaches,1.0000
12oz Tin - Emblem Espresso - Whole Bean,Eaches,Eaches,1.0000
5lb Bag - Cardinal - Whole Bean,Bags - 5lbs,Bags - 5lbs,1.0000
5lb Bag - Cardinal - Whole Bean,Eaches,Bags - 5lbs,1.0000
5lb Bag - Emblem Espresso - Whole Bean,Bags - 5lbs,Bags - 5lbs,1.0000
5lb Bag - Emblem Espresso - Whole Bean,Eaches,Bags - 5lbs,1.0000
5lb Bag - Emblem Espresso Decaf - Whole Bean,Bags - 5lbs,Bags - 5lbs,1.0000
5lb Bag - Emblem Espresso Decaf - Whole Bean,Eaches,Bags - 5lbs,1.0000
Baked Fresh - Brownie - Fudge,Eaches,Case - (35) Eaches,0.0286
Baked Fresh - Cinnamon Bun,Eaches,Case - (18) Eaches,0.0556
Baked Fresh - Coffee Cake,Eaches,Case - (18) Eaches,0.0556
Baked Fresh - Cookie - Chocolate Chip,Eaches,Case - (28) Eaches,0.0357
Baked Fresh - Croissant - Almond,Eaches,Case - (14) Eaches,0.0714
Baked Fresh - Croissant - Butter,Eaches,Case - (14) Eaches,0.0714
Baked Fresh - Croissant - Chocolate,Eaches,Case - (16) Eaches,0.0625
Baked Fresh - Croissant - Ham & Cheese,Eaches,Case - (16) Eaches,0.0625
Baked Fresh - Muffin - Blueberry,Eaches,Case - (24) Eaches,0.0417
Baked Fresh - Muffin - Morning Glory (Vegan),Eaches,Case - (18) Eaches,0.0556
Baked Fresh - Pound Cake - Banana Nut,Eaches,Case - (20) Eaches,0.0500
Baked Fresh - Pound Cake - Lemon,Eaches,Case - (20) Eaches,0.0500
Baked Fresh - Scone - Blueberry,Eaches,Case - (20) Eaches,0.0500
Baked Fresh - Scone - Cheddar Chive,Eaches,Cases - (21) Eaches,0.0476
Beverage Component - Juice Concentrate - Peach Mango,Fluid Ounces,Case - (5) Bottles - 32Fl oz,0.0063
Beverage Component - Juice Concentrate - Strawberry Dragonfruit,Fluid Ounces,Case - (5) Bottles - 32Fl oz,0.0063
Breakfast Sandwich - Bacon Egg and Cheese,Eaches,Case - (14) Eaches,0.0714
Breakfast Sandwich - Chicken Sausage Egg and Cheese,Eaches,Case - (14) Eaches,0.0714
Breakfast Sandwich - Sausage Egg and Cheese,Eaches,Case - (14) Eaches,0.0714
Coconut Water - Plain,Eaches,Case - (14) Eaches,0.0714
Coffee Stirrers - Wooden,Eaches,Pack - (500) Eaches,0.0020
Cold Cup - 12 oz - Compass Coffee,Eaches,Case - (1000) Eaches,0.0010
Cold Cup - 16 oz - Summer Pattern,Eaches,Case - (1000) Eaches,0.0010
Cold Cup - 20 oz - Compass Coffee,Eaches,Case - (1000) Eaches,0.0010
Cold Cup - 20 oz - Summer Pattern,Eaches,Case - (1000) Eaches,0.0010
Cold Lid - 16/24 oz,Eaches,Case - (1000) Eaches,0.0010
Crown Tea - English Breakfast - 15 count - Case of 6,Eaches,Each,1.0000
Crown Tea - Jasmine Green - 15 count - Case of 6,Eaches,Each,1.0000
Crown Tea - Lavender Earl Grey - 15 count - Case of 6,Eaches,Each,1.0000
Crown Tea - Matcha - Bag - 1Lb,Grams,Pound,0.0022
Crown Tea - Moroccan Mint - 15 count - Case of 6,Eaches,Each,1.0000
Crown Tea - Raspberry Rose - 15 count - Case of 6,Eaches,Each,1.0000
Crown Tea - Tropical Green - Bag - Loose Leaf,Grams,Bag - 1lb,0.0022
Dog Treats,Eaches,Each,1.0000
Filtered Water,Grams,,1.0000
Hot Cup - 12 oz - Compass Coffee,Eaches,Case - (600) Eaches,0.0017
Hot Cup - 16 oz - Compass Coffee,Eaches,Case - (600) Eaches,0.0017
Hot Cup - 4 oz - Compass Coffee,Eaches,Case - (1000) Eaches,0.0010
Hot Cup - 8 oz - Compass Coffee,Eaches,Case - (600) Eaches,0.0017
Hot Lid - 12/16 oz - White,Eaches,Case - (1000) Eaches,0.0010
Hot Lid - 8 oz - White,Eaches,Case - (1200) Eaches,0.0008
IC - Bethlehem Bar,Eaches,Case - (32) Eaches,0.0313
Milk - Almond,Fluid Ounces,Pack - (12) Pouches - 64FL oz,0.0013
