item,date,category,qty,member_base_unit,actual_qty_in_base_unit
5lb Bag - Cardinal - Whole Bean,2025-01-01,Iced Coffee,44.0,Bags - 5lbs,1.33579644
5lb Bag - Cardinal - Whole Bean,2025-01-02,Iced Coffee,75.0,Bags - 5lbs,1.08594425
5lb Bag - Cardinal - Whole Bean,2025-01-03,Iced Coffee,63.0,Bags - 5lbs,1.14870973
5lb Bag - Cardinal - Whole Bean,2025-01-04,Iced Coffee,67.0,Bags - 5lbs,1.32882118
5lb Bag - Cardinal - Whole Bean,2025-01-05,Iced Coffee,85.0,Bags - 5lbs,1.28569267
5lb Bag - Cardinal - Whole Bean,2025-01-06,Iced Coffee,53.0,Bags - 5lbs,0.55451327
5lb Bag - Cardinal - Whole Bean,2025-01-07,Iced Coffee,50.0,Bags - 5lbs,0.62786269
5lb Bag - Cardinal - Whole Bean,2025-01-08,Iced Coffee,62.0,Bags - 5lbs,1.43549115
5lb Bag - Cardinal - Whole Bean,2025-01-09,Iced Coffee,72.0,Bags - 5lbs,1.22529508
5lb Bag - Cardinal - Whole Bean,2025-01-10,Iced Coffee,73.0,Bags - 5lbs,1.24524521
5lb Bag - Cardinal - Whole Bean,2025-01-11,Iced Coffee,89.0,Bags - 5lbs,1.33184067
5lb Bag - Cardinal - Whole Bean,2025-01-12,Iced Coffee,94.0,Bags - 5lbs,1.21046136
5lb Bag - Cardinal - Whole Bean,2025-01-13,Iced Coffee,81.0,Bags - 5lbs,1.21080038
5lb Bag - Cardinal - Whole Bean,2025-01-14,Hot Coffee,69.0,Bags - 5lbs,1.02163512
5lb Bag - Cardinal - Whole Bean,2025-01-15,Iced Coffee,77.0,Bags - 5lbs,1.07690347
5lb Bag - Cardinal - Whole Bean,2025-01-16,Iced Coffee,66.0,Bags - 5lbs,0.97879231
5lb Bag - Cardinal - Whole Bean,2025-01-17,Iced Coffee,94.0,Bags - 5lbs,1.18453213
5lb Bag - Cardinal - Whole Bean,2025-01-18,Iced Coffee,91.0,Bags - 5lbs,1.34850355
5lb Bag - Cardinal - Whole Bean,2025-01-19,Iced Coffee,89.0,Bags - 5lbs,1.40783732
5lb Bag - Cardinal - Whole Bean,2025-01-20,Iced Coffee,94.0,Bags - 5lbs,1.07551225
5lb Bag - Cardinal - Whole Bean,2025-01-21,Iced Coffee,75.0,Bags - 5lbs,0.99780908
5lb Bag - Cardinal - Whole Bean,2025-01-22,Iced Coffee,75.0,Bags - 5lbs,0.9460474400000001
5lb Bag - Cardinal - Whole Bean,2025-01-23,Iced Coffee,60.0,Bags - 5lbs,0.61244775
5lb Bag - Cardinal - Whole Bean,2025-01-24,Iced Coffee,96.0,Bags - 5lbs,1.68013303
5lb Bag - Cardinal - Whole Bean,2025-01-25,Iced Coffee,120.0,Bags - 5lbs,2.11529343
5lb Bag - Cardinal - Whole Bean,2025-01-26,Iced Coffee,114.0,Bags - 5lbs,1.68872524
5lb Bag - Cardinal - Whole Bean,2025-01-27,Iced Coffee,78.0,Bags - 5lbs,1.66270244
5lb Bag - Cardinal - Whole Bean,2025-01-28,Iced Coffee,83.0,Bags - 5lbs,1.92638038
5lb Bag - Cardinal - Whole Bean,2025-01-29,Iced Coffee,107.0,Bags - 5lbs,2.33979046
5lb Bag - Cardinal - Whole Bean,2025-01-30,Iced Coffee,92.0,Bags - 5lbs,1.3605030599999999
5lb Bag - Cardinal - Whole Bean,2025-01-31,Iced Coffee,81.0,Bags - 5lbs,1.1278868
